"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774738201313223155","Mon Apr 01 09:58:54 +0000 2024","360","Respect Lawyers. Respect Doctors. Respect Techbros. But for the love of God Almighty DO NOT DATE THEM.","1774738201313223155","","","en","United States","36","61","101","https://twitter.com/JelaniMK/status/1774738201313223155","269831494","JelaniMK"
"1774502052623769983","Sun Mar 31 18:20:32 +0000 2024","32","Talking to Indian techbros be like Tag em in the comments https://t.co/VhKW9Pz5wG","1774502052623769983","https://pbs.twimg.com/ext_tw_video_thumb/1774502032033955840/pu/img/k3Tdji0CPN4dAean.jpg","","en","Miami, FL","0","4","2","https://twitter.com/ArcKau/status/1774502052623769983","971452550057623552","ArcKau"
"1774236170928677145","Sun Mar 31 00:44:01 +0000 2024","281","Designer sekalinya bakuhantam langsung sama masyarakat Coba tiru techbros dulu lah konflik horizontal ","1774236170928677145","","","in","Global","8","25","51","https://twitter.com/dadimdum/status/1774236170928677145","1104292046842474497","dadimdum"
"1774514494435148188","Sun Mar 31 19:09:59 +0000 2024","490","So COCOBOD bought those chinese keyboard from TechBros at GHS4 500 each? https://t.co/FcbBV729hw","1774514494435148188","https://pbs.twimg.com/media/GKBXhwRX0AAOhaP.jpg","","en","Accra, Ghana","66","93","247","https://twitter.com/StatsGH/status/1774514494435148188","2535269459","StatsGH"
"1773050333528252718","Wed Mar 27 18:11:55 +0000 2024","855","Nolan is a gimmicky filmmaker. He appeals to techbros who feel validated that they get great cinema by watching his films. His movies are empty of the human element. A simple plot device is the heart of his movies and the complexity is similar to a kaleidoscope image. ++","1773050333528252718","","","en","Neo fascist nation. ","190","108","82","https://twitter.com/asuph/status/1773050333528252718","14448856","asuph"
"1775394558538662343","Wed Apr 03 05:27:02 +0000 2024","55","To techbros complaining about taxes: this very poor country with low rates of car ownership and a double digit teen illiteracy spends more on building flyovers than on new schools. If that isn't giving you a tax sop on the backs of the poor I don't know what is.","1775394558538662343","","","en","USDR","0","6","15","https://twitter.com/puram_politics/status/1775394558538662343","1513294208","puram_politics"
"1772882848975839368","Wed Mar 27 07:06:24 +0000 2024","21","Droughts are caused by weather and climate; famines and starvation by misgovernance. Independent India has shown that it is possible to conquer famines. Now we are back to pre-independence days because we are now in Digital India. Heartless and clueless techbros deciding policy","1772882848975839368","","","en","Citizen of nowhere!","2","1","15","https://twitter.com/Makarand_S/status/1772882848975839368","134792811","Makarand_S"
"1774302391246197134","Sun Mar 31 05:07:09 +0000 2024","8","So techbros are annoying to compensate lack of soft skills? Y/N?","1774302391246197134","","","en","Malaysia.","0","3","4","https://twitter.com/hanimomo/status/1774302391246197134","17270760","hanimomo"
"1773692959642300686","Fri Mar 29 12:45:29 +0000 2024","21","Techbros with Audis are some of our biggest supporters. Most are #Team5Acres https://t.co/JfFdHqZyiT","1773692959642300686","https://pbs.twimg.com/media/GJ1sV3sXoAAHI15.jpg","","en","","0","0","0","https://twitter.com/LaikipiaRanches/status/1773692959642300686","1341397841919488013","LaikipiaRanches"
"1774694948329148763","Mon Apr 01 07:07:02 +0000 2024","85","A startup should always aspire tỏ solve problems for its users by applying tech that no one cares about We at Grapevine strive to solve for real world problems of our users: Techbros in @peakbengaluru This year - our users faced a new problem So we stepped in.. Proud https://t.co/14vf0R9DFe","1774694948329148763","https://pbs.twimg.com/media/GKDz9UUWAAAwLHL.jpg","","en","India","1","9","3","https://twitter.com/OnTheGrapevine/status/1774694948329148763","1448668972019171329","OnTheGrapevine"
